Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
124,Brook Lopez,C,31,MIL,10,10,32.8,6.1,11.4,0.535,2.1,5.3,0.396,4,6.1,0.656,0.627,1.5,2,0.75,1.9,3.6,5.5,0.5,1,1.3,1.2,2.7,15.8,2020
125,Robin Lopez,C,31,MIL,3,0,7,1,1.3,0.75,0,0,,1,1.3,0.75,0.75,0,0,,0,1.3,1.3,0,0,0,0,0.7,2,2020
126,Kyle Lowry,PG,33,TOR,11,11,37.5,5.6,13.5,0.419,2.1,6.5,0.319,3.5,6.9,0.513,0.497,4.4,5.5,0.8,0.7,5.8,6.5,5.8,1.7,0.7,2.5,3.6,17.7,2020
127,Timothé Luwawu-Cabarrot,SF,24,BRK,4,3,32.8,5,14.8,0.339,3.3,9.8,0.333,1.8,5,0.35,0.449,2.8,3,0.917,0.3,3.5,3.8,1.5,0.8,0,2,3.5,16,2020
128,Terance Mann,SF,23,LAC,13,0,2.1,0.2,0.4,0.4,0,0.2,0,0.2,0.2,0.667,0.4,0,0,,0,0.5,0.5,0.1,0.1,0,0.2,0.3,0.3,2020
129,Boban Marjanović,C,31,DAL,6,0,13.7,2.8,5,0.567,0,0.2,0,2.8,4.8,0.586,0.567,1.2,1.5,0.778,1,4.8,5.8,0.8,0,0.3,0.5,1.5,6.8,2020
130,Jeremiah Martin,PG,23,BRK,3,0,9,1.3,4.7,0.286,1,1.7,0.6,0.3,3,0.111,0.393,0.3,0.3,1,0,1,1,1.3,0,0.3,0.7,0.7,4,2020
131,Frank Mason III,PG,25,MIL,2,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0.5,0,0,0,0,0,2020
132,Wesley Matthews,SG,33,MIL,10,10,24.6,2.4,5.7,0.421,1.7,4.3,0.395,0.7,1.4,0.5,0.57,0.7,1,0.7,0.6,1.2,1.8,0.9,0.9,0.4,0.7,2,7.2,2020
133,CJ McCollum,SG,28,POR,5,5,39.2,8.8,19.8,0.444,2.6,7,0.371,6.2,12.8,0.484,0.51,3,4.4,0.682,1,4.8,5.8,3.2,1.2,0.4,3,2,23.2,2020
134,T.J. McConnell,PG,27,IND,3,0,9.3,1,2.7,0.375,0,0,,1,2.7,0.375,0.375,0.3,0.7,0.5,0,2,2,2.3,0,0,0.7,1.3,2.3,2020
135,Doug McDermott,PF,28,IND,4,0,13.5,1,3.8,0.267,0.5,2.5,0.2,0.5,1.3,0.4,0.333,0,0,,0,0.8,0.8,0.3,0.3,0,0.3,0.8,2.5,2020
136,JaVale McGee,C,32,LAL,14,11,9.6,1.4,2.3,0.625,0,0.1,0,1.4,2.1,0.667,0.625,0.1,0.1,0.5,1.1,2,3.1,0.5,0.1,0.7,0.6,1.6,2.9,2020
137,Rodney McGruder,SG,28,LAC,5,0,3.2,0.6,1,0.6,0.4,0.6,0.667,0.2,0.4,0.5,0.8,0,0,,0.2,0.6,0.8,0.4,0,0,0,0,1.6,2020
138,Ben McLemore,SF,26,HOU,11,0,11.8,1.4,3.6,0.375,1.3,3.3,0.389,0.1,0.4,0.25,0.55,0,0,,0.2,0.8,1,0.5,0.4,0,0.3,0.7,4,2020
139,Khris Middleton,SF,28,MIL,10,10,35.5,7.1,18,0.394,2.3,6.5,0.354,4.8,11.5,0.417,0.458,3.8,4.6,0.826,0.5,6.4,6.9,6,1.1,0.2,3.4,4.1,20.3,2020
140,Malcolm Miller,SF,26,TOR,1,0,5,1,3,0.333,1,1,1,0,2,0,0.5,0,0,,0,0,0,0,0,0,0,2,3,2020
141,Paul Millsap,PF,34,DEN,19,19,24.2,2.5,6.2,0.398,0.8,2.3,0.341,1.7,3.9,0.432,0.462,2.3,2.8,0.796,1.4,3.3,4.7,1.2,0.6,0.5,1.3,2.6,8,2020
142,Shake Milton,SG,23,PHI,4,4,31.5,5.3,11,0.477,2.5,6.3,0.4,2.8,4.8,0.579,0.591,1.5,1.8,0.857,0.3,3,3.3,2.8,0.5,0,1.5,3.3,14.5,2020
143,Donovan Mitchell,SG,23,UTA,7,7,37.7,11.9,22.4,0.529,4.7,9.1,0.516,7.1,13.3,0.538,0.634,7.9,8.3,0.948,0.9,4.1,5,4.9,1,0.3,4.1,1.6,36.3,2020
144,Juwan Morgan,PF,22,UTA,7,2,12.3,0.4,1.7,0.25,0.3,1.4,0.2,0.1,0.3,0.5,0.333,0.3,0.9,0.333,0.9,2.1,3,0.7,0.3,0,0.1,1.6,1.4,2020
145,Marcus Morris,PF,30,LAC,13,13,29.8,4.3,8.5,0.505,2.2,4.5,0.475,2.2,4,0.538,0.631,1,1.1,0.929,0.8,4,4.8,1.6,0.8,0.1,0.7,3,11.8,2020
146,Markieff Morris,PF,30,LAL,21,2,18.3,2.1,4.7,0.449,1.4,3.3,0.42,0.7,1.4,0.517,0.597,0.3,0.4,0.778,0.6,2.5,3,1,0.3,0.1,0.8,2.6,5.9,2020
147,Monte Morris,PG,24,DEN,19,4,21.4,3.5,7,0.496,0.6,2.1,0.3,2.8,4.9,0.581,0.541,1.5,1.8,0.824,0.2,1.3,1.5,2.7,0.6,0.1,0.5,1.1,9.1,2020
148,Emmanuel Mudiay,PG,23,UTA,3,0,11.3,1.7,4.7,0.357,0.7,1,0.667,1,3.7,0.273,0.429,0.3,0.7,0.5,0.3,1.7,2,0.7,0,0.3,0.3,0,4.3,2020
149,Jamal Murray,PG,22,DEN,19,19,39.6,9.8,19.4,0.505,3.3,7.2,0.453,6.5,12.2,0.537,0.59,3.7,4.1,0.897,1.1,3.8,4.8,6.6,0.9,0.3,2.8,2.2,26.5,2020
150,Džanan Musa,SF,20,BRK,3,0,13,0.7,3.7,0.182,0,2,0,0.7,1.7,0.4,0.182,3.3,4.7,0.714,0.3,0.7,1,1.3,0,0.3,1,0.7,4.7,2020
151,Mike Muscala,C,28,OKC,2,0,10,0.5,1,0.5,0.5,0.5,1,0,0.5,0,0.75,0,0,,0,2,2,0.5,0,0,0,1,1.5,2020
152,Abdel Nader,SF,26,OKC,3,0,8.3,0.3,2.3,0.143,0.3,1.7,0.2,0,0.7,0,0.214,0.3,0.7,0.5,0.3,0.7,1,0,0.3,0.7,0,0.3,1.3,2020
153,Raul Neto,PG,27,PHI,2,0,13,1.5,4.5,0.333,1,2.5,0.4,0.5,2,0.25,0.444,0,0,,0,1.5,1.5,1.5,0.5,0,0.5,0,4,2020
154,Georges Niang,PF,26,UTA,7,0,16.3,3.1,6.3,0.5,1.7,4.1,0.414,1.4,2.1,0.667,0.636,0.3,0.3,1,0.6,1.6,2.1,0.6,0,0.1,0.3,1.3,8.3,2020
155,Joakim Noah,C,34,LAC,2,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,2020
156,Nerlens Noel,C,25,OKC,7,0,13.9,1.1,2.4,0.471,0,0.1,0,1.1,2.3,0.5,0.471,0.7,1.4,0.5,0.7,3.4,4.1,0.4,0.3,0.7,0.3,2.1,3,2020
157,Kendrick Nunn,PG,24,MIA,15,0,15.9,2.4,6.1,0.391,0.8,2.9,0.279,1.6,3.3,0.49,0.457,0.5,0.5,1,0.2,1.9,2.1,1.3,0.2,0.2,0.8,1.4,6.1,2020
158,Jusuf Nurkić,C,25,POR,5,5,32.2,5,11.4,0.439,0.6,2.2,0.273,4.4,9.2,0.478,0.465,3.6,4.6,0.783,2.8,7.6,10.4,3.6,1.4,0.2,2.6,4.2,14.2,2020
159,Royce O'Neale,SF,26,UTA,7,7,35.6,1.9,4.6,0.406,1.4,3.1,0.455,0.4,1.4,0.3,0.563,0.4,0.9,0.5,0.4,5,5.4,2.7,1.3,0.3,1.9,3.6,5.6,2020
160,Kyle O'Quinn,C,29,PHI,1,0,6,0,0,,0,0,,0,0,,,0,0,,0,1,1,1,0,0,2,3,0,2020
161,Semi Ojeleye,PF,25,BOS,13,0,9.4,0.5,2.2,0.25,0.4,1.8,0.217,0.2,0.4,0.4,0.339,0.2,0.2,1,0.2,0.8,0.9,0.1,0.2,0,0.1,0.7,1.6,2020
162,Victor Oladipo,SG,27,IND,4,4,30.8,5.5,14,0.393,3,8.3,0.364,2.5,5.8,0.435,0.5,3.8,4,0.938,0,3.3,3.3,2.5,2.3,0,3.5,3.5,17.8,2020
163,Kelly Olynyk,C,28,MIA,17,0,15.2,2.6,5.6,0.474,1,2.9,0.347,1.6,2.7,0.609,0.563,1.4,1.6,0.821,0.8,3.9,4.6,1.1,0.2,0.5,0.8,2.1,7.6,2020
164,Miye Oni,SF,22,UTA,2,0,7,1.5,3,0.5,0.5,2,0.25,1,1,1,0.583,0,0,,1,1,2,0,0.5,0.5,0.5,1,3.5,2020
165,Patrick Patterson,PF,30,LAC,2,0,5,1.5,1.5,1,1.5,1.5,1,0,0,,1.5,0,0,,0,0.5,0.5,2,0,0,0,0.5,4.5,2020
